item_ID,sample_size,amount_pos,amount_neg
icb/a83 of 102 DOCUMENTS .txt,1,26,8
icb/b13 of 79 DOCUMENTS.txt,1,23,16
icb/c54 of 94 DOCUMENTS .txt,1,2,2
icb/d2 of 16 DOCUMENTS .txt,1,2,3
icb/e77 of 127 DOCUMENTS .txt,1,4,0
icb/f45 of 114 DOCUMENTS .txt,1,71,18
icb/g54 of 149 DOCUMENTS .txt,1,2,6
icb/h21 of 42 DOCUMENTS .txt,1,10,8
icb/i42 of 79 DOCUMENTS .txt,1,37,23
icb/j23 of 82 DOCUMENTS .txt,1,10,10
icb/k113 of 200 DOCUMENTS .txt,1,22,20
icb/l134 of 160 DOCUMENTS .txt,1,35,17
icb/m45 of 148 DOCUMENTS .txt,1,16,5
icb/n100 of 117 DOCUMENTS .txt,1,19,12
icb/o11 of 125 DOCUMENTS .txt,1,15,10
icb/p136 of 148 DOCUMENTS .txt,1,12,0
icb/q128 of 158 DOCUMENTS .txt,1,26,11
icb/r121 of 174 DOCUMENTS .txt,1,5,4
icb/s195 of 200 DOCUMENTS .txt,1,41,21
icb/t54 of 65 DOCUMENTS .txt,1,15,4
icb/u13 of 82 DOCUMENTS .txt,1,19,12
icb/w121 of 126 DOCUMENTS .txt,1,25,8
icb/x69 of 97 DOCUMENTS .txt,1,4,4
icb/y124 of 152 DOCUMENTS .txt,1,22,9
icb/z3 of 3 DOCUMENTS .txt,1,36,6
